"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"WENETSPEECH: A 10000+ Hours Multi-Domain Mandarin Corpus for Speech Recognition","B. Zhang; H. Lv; P. Guo; Q. Shao; C. Yang; L. Xie; X. Xu; H. Bu; X. Chen; C. Zeng; D. Wu; Z. Peng","Audio, Speech and Language Processing Group (ASLP@NPU), School of Computer Science, Northwestern Polytechnical University; Audio, Speech and Language Processing Group (ASLP@NPU), School of Computer Science, Northwestern Polytechnical University; Audio, Speech and Language Processing Group (ASLP@NPU), School of Computer Science, Northwestern Polytechnical University; Audio, Speech and Language Processing Group (ASLP@NPU), School of Computer Science, Northwestern Polytechnical University; Mobvoi Inc.; Audio, Speech and Language Processing Group (ASLP@NPU), School of Computer Science, Northwestern Polytechnical University; Beijing Shell Shell Technology Co., Ltd.; Beijing Shell Shell Technology Co., Ltd.; Mobvoi Inc.; Mobvoi Inc.; Mobvoi Inc.; Mobvoi Inc.","ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","27 Apr 2022","2022","","","6182","6186","In this paper, we present WenetSpeech, a multi-domain Mandarin corpus consisting of 10000+ hours high-quality labeled speech, 2400+ hours weakly labeled speech, and about 10000 hours unlabeled speech, with 22400+ hours in total. We collect the data from YouTube and Podcast, which covers a variety of speaking styles, scenarios, domains, topics and noisy conditions. An optical character recognition (OCR) method is introduced to generate the audio/text segmentation candidates for the YouTube data on the corresponding video subtitles, while a high-quality ASR transcription system is used to generate audio/text pair candidates for the Podcast data. Then we propose a novel end-to-end label error detection approach to further validate and filter the candidates. We also provide three manually labelled high-quality test sets along with WenetSpeech for evaluation – Dev for cross-validation purpose in training, Test_Net, collected from Internet for matched test, and Test_Meeting, recorded from real meetings for more challenging mismatched test. Baseline systems trained with WenetSpeech are provided for three popular speech recognition toolkits, namely Kaldi, ESPnet, and WeNet, and recognition results on the three test sets are also provided as benchmarks. To the best of our knowledge, WenetSpeech is the current largest open-source Mandarin speech corpus with transcriptions, which benefits research on production-level speech recognition.","2379-190X","978-1-6654-0540-9","10.1109/ICASSP43922.2022.9746682","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9746682","automatic speech recognition;corpus;multi-domain","Optical filters;Training;Matched filters;Speech recognition;Optical character recognition software;Noise measurement;Speech processing","","82","","41","IEEE","27 Apr 2022","","","IEEE","IEEE Conferences"
"Optimizing Speech Recognition for Medical Transcription: Fine-Tuning Whisper and Developing a Web Application","R. Roushan; H. Mishra; L. Yadav; S. Koppula; N. Tiwari; K. S. Nataraj","ECE Department, IIIT Dharwad, Dharwad, India; ECE Department, IIIT Dharwad, Dharwad, India; CSE Department, IIIT Dharwad, Dharwad, India; ECE Department, IIIT Dharwad, Dharwad, India; SECS, IIT Bhubaneswar, Bhubaneswar, India; ECE Department, IIIT Dharwad, Dharwad, India",2024 IEEE Conference on Engineering Informatics (ICEI),"12 Mar 2025","2024","","","1","6","Utilizing automatic speech recognition in medical transcription can greatly improve healthcare professionals’ productivity. It eliminates the need for manual tasks like physician note-taking, data retrieval, and medical information searches, which can be time-consuming and divert their attention from patient care. Fine-tuning automatic speech recognition (ASR) systems for medical transcription using domain specific data is essential to enhance the performance. In this work, we fine-tuned the Whisper ASR system, which is known for its state-of-the-art speech recognition capabilities, using medical speech data. The fine-tuned model achieved a word error rate (WER) of 7.5% for medical data, demonstrating its potential for accurate transcription in clinical settings. Futher, we have developed a web application tailored for medical transcription. This application uses the robust Whisper ASR engine, renowned for its resilience to background noise. The web application offers user-friendly features such as audio recording, secure access via user-specific logins, and the seamless preservation of medical speech reports. We tested the web application with six Indian doctors by recording 362 utterances of prescriptions. The speech transcription achieved a WER of 19.4%, indicating the need for further fine-tuning for the Indian context with a larger dataset and an advanced Whisper model variant.","","979-8-3315-0577-6","10.1109/ICEI64305.2024.10912421","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10912421","Automatic speech recognition;word error rate;medical transcription;web application","Training;Productivity;Error analysis;Medical services;Manuals;Audio recording;Data models;Automatic speech recognition;Context modeling;Resilience","","","","17","IEEE","12 Mar 2025","","","IEEE","IEEE Conferences"
"Auto-AVSR: Audio-Visual Speech Recognition with Automatic Labels","P. Ma; A. Haliassos; A. Fernandez-Lopez; H. Chen; S. Petridis; M. Pantic","Imperial College London, UK; Imperial College London, UK; Meta AI, UK; Meta AI, UK; Imperial College London, UK; Imperial College London, UK","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","5 May 2023","2023","","","1","5","Audio-visual speech recognition has received a lot of attention due to its robustness against acoustic noise. Recently, the performance of automatic, visual, and audio-visual speech recognition (ASR, VSR, and AV-ASR, respectively) has been substantially improved, mainly due to the use of larger models and training sets. However, accurate labelling of datasets is time-consuming and expensive. Hence, in this work, we investigate the use of automatically-generated transcriptions of unlabelled datasets to increase the training set size. For this purpose, we use publicly-available pre-trained ASR models to automatically transcribe unlabelled datasets such as AVSpeech and Vox-Celeb2. Then, we train ASR, VSR and AV-ASR models on the augmented training set, which consists of the LRS2 and LRS3 datasets as well as the additional automatically-transcribed data. We demonstrate that increasing the size of the training set, a recent trend in the literature, leads to reduced WER despite using noisy transcriptions. The proposed model achieves new state-of-the-art performance on AV-ASR on LRS2 and LRS3. In particular, it achieves a WER of 0.9 % on LRS3, a relative improvement of 30 % over the current state-of-the–art approach, and outperforms methods that have been trained on non-publicly available datasets with 26 times more training data.","2379-190X","978-1-7281-6327-7","10.1109/ICASSP49357.2023.10096889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10096889","audio-visual speech recognition;unlabelled audio-visual data;automatically generated transcriptions","Training;Visualization;Training data;Speech recognition;White noise;Signal processing;Robustness","","51","","40","IEEE","5 May 2023","","","IEEE","IEEE Conferences"
"Data-Filtering Methods for Self-Training of Automatic Speech Recognition Systems","A. -L. Georgescu; C. Manolache; D. Oneaţă; H. Cucu; C. Burileanu","Speech and Dialogue Research Laboratory, University POLITEHNICA of Bucharest, Romania; Speech and Dialogue Research Laboratory, University POLITEHNICA of Bucharest, Romania; Speech and Dialogue Research Laboratory, University POLITEHNICA of Bucharest, Romania; Speech and Dialogue Research Laboratory, University POLITEHNICA of Bucharest, Romania; Speech and Dialogue Research Laboratory, University POLITEHNICA of Bucharest, Romania",2021 IEEE Spoken Language Technology Workshop (SLT),"25 Mar 2021","2021","","","1","7","Self-training is a simple and efficient way of leveraging un-labeled speech data: (i) start with a seed system trained on transcribed speech; (ii) pass the unlabeled data through this seed system to automatically generate transcriptions; (iii) en-large the initial dataset with the self-labeled data and retrain the speech recognition system. However, in order not to pol-lute the augmented dataset with incorrect transcriptions, an important intermediary step is to select those parts of the self-labeled data that are accurate. Several approaches have been proposed in the community, but most of the works address only a single method. In contrast, in this paper we inspect three distinct classes of data-filtering for self-training, leveraging: (i) confidence scores, (ii) multiple ASR hypotheses and (iii) approximate transcriptions. We evaluate these approaches from two perspectives: quantity vs. quality of the selected data and improvement of the seed ASR by including this data. The proposed methodology achieves state-of-the-art results on Romanian speech, obtaining 25% relative improvement over prior work. Among the three methods, approximate transcriptions bring the highest performance gain, even if they yield the least quantity of data.","","978-1-7281-7066-4","10.1109/SLT48900.2021.9383577","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9383577","automatic speech recognition;self training;speech corpora annotation","Training;Annotations;Conferences;Speech recognition;Performance gain;Data models;Automatic speech recognition","","1","","39","IEEE","25 Mar 2021","","","IEEE","IEEE Conferences"
"Multilingual Audio-Visual Speech Recognition with Hybrid CTC/RNN-T Fast Conformer","M. Burchi; K. C. Puvvada; J. Balam; B. Ginsburg; R. Timofte","NVIDIA, USA; NVIDIA, USA; NVIDIA, USA; NVIDIA, USA; Computer Vision Lab, CAIDAS & IFI, University of Würzburg, Germany","ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","18 Mar 2024","2024","","","10211","10215","Humans are adept at leveraging visual cues from lip movements for recognizing speech in adverse listening conditions. Audio-Visual Speech Recognition (AVSR) models follow similar approach to achieve robust speech recognition in noisy conditions. In this work, we present a multilingual AVSR model incorporating several enhancements to improve performance and audio noise robustness. Notably, we adapt the recently proposed Fast Conformer model to process both audio and visual modalities using a novel hybrid CTC/RNN-T architecture. We increase the amount of audio-visual training data for six distinct languages, generating automatic transcriptions of unlabelled multilingual datasets (VoxCeleb2 and AVSpeech). Our proposed model achieves new state-of-the-art performance on the LRS3 dataset, reaching WER of 0.8%. On the recently introduced MuAViC benchmark, our model yields an absolute average-WER reduction of 11.9% in comparison to the original baseline. Finally, we demonstrate the ability of the proposed model to perform audio-only, visual-only, and audio-visual speech recognition at test time.","2379-190X","979-8-3503-4485-1","10.1109/ICASSP48485.2024.10445891","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10445891","audio-visual speech recognition;multi-lingual;noise robustness;generated transcriptions","Adaptation models;Visualization;Training data;Speech recognition;Benchmark testing;Noise robustness;Speech processing","","4","","40","IEEE","18 Mar 2024","","","IEEE","IEEE Conferences"
"Foundation Model Assisted Automatic Speech Emotion Recognition: Transcribing, Annotating, and Augmenting","T. Feng; S. Narayanan","Signal Analysis and Interpretation Laboratory, University of Southern California, Los Angeles, USA; Signal Analysis and Interpretation Laboratory, University of Southern California, Los Angeles, USA","ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","18 Mar 2024","2024","","","12116","12120","Significant advances are being made in speech emotion recognition (SER) using deep learning models. Nonetheless, training SER systems remains challenging, requiring both time and costly resources. Like many other machine learning tasks, acquiring datasets for SER requires substantial data annotation efforts, including transcription and labeling. These annotation processes present challenges when attempting to scale up conventional SER systems. Recent developments in foundational models have had a tremendous impact, giving rise to applications such as ChatGPT. These models have enhanced human-computer interactions including bringing unique possibilities for streamlining data collection in fields like SER. In this research, we explore the use of foundational models to assist in automating SER from transcription and annotation to augmentation. Our study demonstrates that these models can generate transcriptions to enhance the performance of SER systems that rely solely on speech data. Furthermore, we note that annotating emotions from transcribed speech remains a challenging task. However, combining outputs from multiple LLMs enhances the quality of annotations. Lastly, our findings suggest the feasibility of augmenting existing speech emotion datasets by annotating unlabeled speech samples.","2379-190X","979-8-3503-4485-1","10.1109/ICASSP48485.2024.10448130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10448130","Speech;Emotion recognition;Foundation model;Large Language Model","Training;Emotion recognition;Annotations;Speech recognition;Speech enhancement;Signal processing;Data models","","12","","30","IEEE","18 Mar 2024","","","IEEE","IEEE Conferences"
"Automatic Speech Recognition using the Melspectrogram-based method for English Phonemes","M. Soundarya; P. R. Karthikeyan; K. Ganapathy; G. Thangarasu","Institute of Electronics about Communication Engineering, Saveetha School of Engineering SIMATS, Chennai, India; Institute of Electronics about Communication Engineering, Saveetha School of Engineering SIMATS, Chennai, India; Institute of Electronics about Communication Engineering, Saveetha School of Engineering SIMATS, Chennai, India; Department of Professional Industry-Driven Education, MAHSA University, Selangor, Malaysia","2022 International Conference on Computer, Power and Communications (ICCPC)","23 Mar 2023","2022","","","270","273","An automatic speech recognition (ASR) technique may be set up to forecast the pronunciation of textual identifiers (such as song names) based on assumptions about the language or languages in which the textual identifier was originally written. To identify mispronunciation, custom acoustic-phonetic elements are typically used. This study examines the use of deep convolutional neural networks to identify English phonemes that have been mispronounced in musical samples. Convolutional neural networks (CNNs) are now often employed in systems recognizing speech. In this work, a decoded-based architecture is proposed in which the spectrogram feature that corresponds with the auditory features is proposed by comparing the various inputs to the model. Following the selection of the input features, this research examines the design principles of learning parameters and their application to voice recognition with various parameters. To identify mispronunciation, custom acoustic-phonetic elements are typically used. This research work also examines the application of learning models. The proposed method achieves better results with 85% of accuracy and a Word Error Rate of 8.1 on comparing with existing works.","","979-8-3503-9784-0","10.1109/ICCPC55978.2022.10072076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10072076","Speech recognition;Melspectrogram;CNN;audio;text;phoneme","Error analysis;Computational modeling;Music;Computer architecture;Convolutional neural networks;Spectrogram;Automatic speech recognition","","1","","10","IEEE","23 Mar 2023","","","IEEE","IEEE Conferences"
"Speech Mastery Detection Using Advanced Natural Language Processing (NLP) and Automatic Speech Recognition (ASR) Techniques","P. Raut; K. Anitha; S. Sowmya; K. Vinnu","Department of Electronics and Communication Engineering, Velagapudi Ramakrishna Siddhartha Engineering, College Deemed to be University, Andhra Pradesh, India; Department of Electronics and Communication Engineering, Velagapudi Ramakrishna Siddhartha Engineering, College Deemed to be University, Andhra Pradesh, India; Department of Electronics and Communication Engineering, Velagapudi Ramakrishna Siddhartha Engineering, College Deemed to be University, Andhra Pradesh, India; Department of Electronics and Communication Engineering, Velagapudi Ramakrishna Siddhartha Engineering, College Deemed to be University, Andhra Pradesh, India",2024 4th International Conference on Artificial Intelligence and Signal Processing (AISP),"12 Feb 2025","2024","","","1","5","In today's globalized world, English communication skills are essential for career advancement and cross-cultural collaboration, enhancing access to information and opportunities. Automatic speech recognition, or ASR, is a separate machine-driven method for transcription and decoding spoken language. An ASR system typically uses a microphone to capture a speaker's audio input, analyze it using a model, algorithm, or pattern, and output the results, which are often text messages (Lai, Karat, Yankelovich, 2008). This paper provides a thorough method for utilizing Python-based tools and modules to extract and analyze linguistic characteristics from audio data. The suggested approach turns spoken language into text using voice recognition technology, and then it uses natural language processing (NLP) methods to extract different linguisticmetrics. Word count, sentence count, vocabulary size, average sentence length, average word length, sentiment score, speech pace, frequency of pauses, and average length of pauses are some of these measures. The technique also determines the speaker's speaking style. Keywords: audio analysis, linguistic features, natural language processing, pause detection, speech recognition, sentiment analysis, visualization.","2640-5768","979-8-3503-5065-4","10.1109/AISP61711.2024.10870738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10870738","Audio Analysis;Linguistic Features;Natural Language Processing;Pause Detection;Speech Recognition;Sentiment Analysis;Visualization","Training;Vocabulary;Sentiment analysis;Signal processing algorithms;Linguistics;Feature extraction;Size measurement;Frequency measurement;Speech processing;Automatic speech recognition","","","","20","IEEE","12 Feb 2025","","","IEEE","IEEE Conferences"
"Speech Retrieval-Augmented Generation without Automatic Speech Recognition","D. J. Min; K. Mundnich; A. Lapastora; E. Soltanmohammadi; S. Ronanki; K. Han",University of Michigan; AWS AI Labs; AWS AI Labs; AWS AI Labs; AWS AI Labs; AWS AI Labs,"ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","1","5","One common approach for question answering over speech data is to first transcribe speech using automatic speech recognition (ASR) and then employ text-based retrieval-augmented generation (RAG) on the transcriptions. While this cascaded pipeline has proven effective in many practical settings, ASR errors can propagate to the retrieval and generation steps. To overcome this limitation, we introduce SpeechRAG, a novel framework designed for open-question answering over spoken data. Our proposed approach fine-tunes a pre-trained speech encoder into a speech adapter fed into a frozen large language model (LLM)–based retrieval model. By aligning the embedding spaces of text and speech, our speech retriever directly retrieves audio passages from text-based queries, leveraging the retrieval capacity of the frozen text retriever. Our retrieval experiments on spoken question answering datasets show that direct speech retrieval does not degrade over the text-based baseline, and outperforms the cascaded systems using ASR. For generation, we use a speech language model (SLM) as a generator, conditioned on audio passages rather than transcripts. Without fine-tuning of the SLM, this approach outperforms cascaded text-based models when there is high WER in the transcripts.","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10888900","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10888900","speech retrieval-augmented generation;spoken content retrieval;cross-modal retrieval;multimodal retrieval;open question answering;audio language model;speech language model","Adaptation models;Large language models;Retrieval augmented generation;Pipelines;Signal processing;Question answering (information retrieval);Noise measurement;Speech processing;Automatic speech recognition;Indexing","","","","34","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"Automatic Speech Recognition in Diverse English Accents","H. Mohyuddin; D. Kwak","Department of Computer Science and Technology, Kean University, Union, NJ, USA; Department of Computer Science and Technology, Kean University, Union, NJ, USA",2023 International Conference on Computational Science and Computational Intelligence (CSCI),"19 Jul 2024","2023","","","714","718","Advancements in automatic speech recognition (ASR) systems have led to their widespread integration into daily life, significantly altering our interaction with technology. However, this interaction is not always seamless for all users. Specifically, speakers with accents frequently face difficulties using ASR technologies and often need to deliberately adjust their pronunciation for better recognition. This study aims to compare leading ASR models' ability to transcribe speech from accented speakers of various nationalities against their native American English-speaking counterparts. We utilize two speech corpora: the L2-ARCTIC (L2A) and the Speech Accent Archive (SAA), which provide the original ‘clean’ audio samples. From there, two additional files are created by adding background noise to the original samples. These files are then processed through the respective APIs of each ASR model to obtain transcriptions. The accuracy of these transcriptions is then assessed by calculating the Word Error Rate (WER) for each speaker and model. The primary objective of this study is to highlight the challenges faced by speakers with diverse accents in using ASR technology. By highlighting these issues, we aim to encourage proactive measures to take steps towards their resolution. We believe it emphasizes the importance of fostering a more equitable and inclusive user experience.","2769-5654","979-8-3503-6151-3","10.1109/CSCI62032.2023.00122","National Science Foundation(grant numbers:DUE-2129795); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10590378","Voice Assistants;Automatic Speech Recognition;Accented Speech;ASR Accuracy;Accent Recognition","Scientific computing;Filtering;Face recognition;Working environment noise;Noise;Speech enhancement;User experience","","1","","21","IEEE","19 Jul 2024","","","IEEE","IEEE Conferences"
