model,audio_file,phrase,detected_start,detected_end,actual_start,actual_end,transcript
tiny,1-noise.mp4,cheese,2.4,2.78,2.4,2.7," I bought some fresh cheese at the park to be a swimmer, it tasted amazing with crackers and a glass of wine."
tiny,1-noise_echo.mp4,cheese,2.42,2.78,2.4,2.7," I am not some fresh cheese, i can eat it some days, it will crack it some less if i saw it"
tiny,1-noise_fast.mp4,cheese,,,1.6,1.9,어서 Truj Qui 왔
tiny,1-noise_noise.mp4,cheese,,,2.4,2.7,
tiny,1-noise_slow.mp4,cheese,,,3.2,3.8, Well over expectation. Cochbral�
tiny,1.mp4,cheese,2.12,2.54,1.95,2.55," I bought some fresh cheese at the market yesterday, it tasted amazing with crackers and a glass of wine."
tiny,1_echo.mp4,cheese,2.12,2.58,1.95,2.55, I bought some fresh cheese for the market yesterday and it tasted amazing with crackers and a glass of wine.
tiny,1_fast.mp4,cheese,1.44,1.74,1.3,1.7, I bought some fresh cheese and the market yesterday. It tastes as amazing with fracas and a pleasant line.
tiny,1_noise.mp4,cheese,,,1.95,2.55,
tiny,1_slow.mp4,cheese,2.88,3.42,2.7,3.4," I brought some fresh cheese at the market yesterday, it tasted amazing with crackers and a glass of wine."
tiny,2-noise.mp4,cheese,,,4.5,5.2," There are kept BulletScore flights, tournaments start from 3. Please come up together and pick for a snack."
tiny,2-noise_echo.mp4,cheese,,,4.5,5.2, the research that we result in a lot of this did get the appropriate options
tiny,2-noise_fast.mp4,cheese,,,3.0,3.3," Yeah, this is possibly a huge"
tiny,2-noise_noise.mp4,cheese,,,4.5,5.2,
tiny,2-noise_slow.mp4,cheese,,,6.0,6.8, This is the cause for free. We dance. We are free. It's not fair enough like you.
tiny,2.mp4,cheese,4.66,5.06,4.7,5.02," The recipe calls for free ingredients, milk, flour and cheese mix them together and bake for 20 minutes."
tiny,2_echo.mp4,cheese,4.56,5.04,4.7,5.02," There are a set of calls for three ingredients, milk, flour and cheese mixed together and a bite for 20 minutes."
tiny,2_fast.mp4,cheese,,,3.04,3.36," If possible because pre-engrian Snake, function on the intereges ready, one may never lie to us."
tiny,2_noise.mp4,cheese,,,4.7,5.02,
tiny,2_slow.mp4,cheese,,,6.2,6.7," Fl!</p!</b?! Just shaped사를 Ka 1mm fast."" Kap cabbage sientes rectangular ten花 salante,"
tiny,afrikaans1.mp3,cheese,8.0,8.34,7.9,8.3," Please call Stala, ask her to bring these things with her from the store 6 spoons of freshener peas, 5 thick slabs of blue cheese and maybe a snack for her brother-bop. We also need a small plastic snake and a big to a frog for the kids. She can scoop these things into free-dread bags and we will go meet a wind-stad train station."
tiny,afrikaans1_echo.wav,cheese,8.02,8.32,8.02,8.4," Please call Stella, ask her to bring these things with her from those six points of free snow peas, five thick slabs of blue cheese and my base snack for her brother, brother bar. We also need a small plastic snake and a big two-way frog for the kids. She can scoop these things into free-weight bags and we will go meet the windstead train station."
tiny,afrikaans1_fast.wav,cheese,,,5.3,5.7," This all set enable to bring boxes enjoyment , trifle G prop words, also welcome feature services to sa chromosomes form feature features features feature features experience you can see delicious sequel"
tiny,afrikaans1_noise.wav,cheese,,,7.9,8.3, This__scaler worshipped the thing we created here by this blue fox earbehaved wild fox lick ahoe grod And also an adhesive sweltering untied wood вр theichte sort it to the inside
tiny,afrikaans1_slow.wav,cheese,10.68,11.1,10.7,11.2," These goals teller are they to bring these things with them from those six spoons of fish in our piece, five thick slaps of blue cheese and maybe snack for her brother-bop. We also need small plastic snipe and big, tway frog play kids. She can scoop these things into free rate bags and we will go meet the Wednesday at"
tiny,female1_anxious_14b_1.wav,worried,1.32,1.66,1.3,1.65, I am so worried about my exam results.
tiny,female1_anxious_14b_1_echo.wav,worried,1.26,1.66,1.3,1.65, I am so worried about my exam results.
tiny,female1_anxious_14b_1_fast.wav,worried,,,0.8,1.174, I have sobered about my exam results.
tiny,female1_anxious_14b_1_noise.wav,worried,,,1.3,1.65,
tiny,female1_anxious_14b_1_slow.wav,worried,1.72,2.18,1.68,2.34, I am so worried about my exerosults.
tiny,female1_assertive_14a_2.wav,try,0.54,1.1,0.6,1.07, Please try to do your exercises next time.
tiny,female1_assertive_14a_2_echo.wav,try,0.58,1.12,0.6,1.07, Please try to do your exercises next time.
tiny,female1_assertive_14a_2_fast.wav,try,0.46,0.74,0.488,0.8, Please try to do your exercises next time.
tiny,female1_assertive_14a_2_noise.wav,try,,,0.6,1.07,
tiny,female1_assertive_14a_2_slow.wav,try,0.78,1.5,1.0,1.6, Please try to do your exercises next time.
tiny,female1_encouraging_4b_2.wav,likes,0.7,1.2,0.7,1.16, Taylor likes Jude Asian food.
tiny,female1_encouraging_4b_2_echo.wav,likes,0.62,1.1,0.7,1.16, Taylor likes Jude Asian food.
tiny,female1_encouraging_4b_2_fast.wav,likes,0.46,0.8,0.65,0.79, Taylor likes to eat a food.
tiny,female1_encouraging_4b_2_noise.wav,likes,,,0.7,1.16,
tiny,female1_encouraging_4b_2_slow.wav,likes,0.82,1.58,1.0,1.55, Taylor likes Jude Asian food.
tiny,french1.mp3,cheese,11.36,11.84,11.3,11.8," Please co-stella, as her to bring these things with her from the star, 6 spoons of fresh snow, fresh snow peas, 5 thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoops these things into three red bags, and we will go meet her Wednesday at the twin station."
tiny,french1_echo,cheese,11.38,11.84,11.3,11.7," Please call Stella, ask her to bring these things with her from the star, six spoons of fresh snow, fresh snow peas, five big slaves of blue cheese and maybe a snack for her brother, but we also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet meeters Wednesday at the twin station."
tiny,french1_fast.wav,cheese,7.62,7.9,7.7,8.1," Please go to the lab as her to bring these things with her for the star 6 months of personal first new piece, 5X legs of the cheese and it is not horrible above. We also need a smaller 6-neck and a bit more proper against. She can skip these things into three my bags and we will go meet me her as a manager at the transition."
tiny,french1_noise.wav,cheese,,,11.3,11.8, Magically we clean the wood we can see that we were going out of the same tässäitegent lines together and we will build the wood into the sinus and now we are going to fit the gayx other Ministry of Oil.
tiny,french1_slow.wav,cheese,15.14,15.74,15.1,15.8," Please co-stella, ask her to bring these things with her from the star, the experience of fresh snow. Fresh snow, peas, five eggs, slaves of the cheese, and maybe a snack for her brother-bub. We also need a small plastic snack and a big toy frog for the kids. She can scoop this thing into three red bags and we will go meet mehors Wednesday at the transition."
tiny,german1.mp3,cheese,11.02,11.42,10.8,11.2," Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five, six slaps of blue cheese, and maybe a snack for her brother barb. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station."
tiny,german1_echo.wav,cheese,11.02,11.52,10.8,11.3," Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five, six slabs of blue cheese, and maybe a snack for her brother-bub. We also need a small plastic snake and a big toy for the kids. She can scoop these things into three-bed bags and we will go meet her Wednesday at the train station."
tiny,german1_fast.wav,cheese,7.36,7.64,7.4,7.8," Please call Stella, ask her to bring these things with her from the store. Sixth of fresh snow peas, five, six laps of blue cheese, and many a snack for her brother bath. We also need a smaller pastix snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station."
tiny,german1_noise.wav,cheese,,,10.8,11.3," Please call Stella, ask her to bring these things with her from the store. Six spoons of flesh, snow peas, five, six slacks of luchis, and maybe a snack for her brother bath. We also need a small plastic snack and a big toy box for the kids. She can scoop these things into three red bags and we will go on a meal one day at the same station."
tiny,german1_slow.wav,cheese,14.7,15.24,14.5,15.2," Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five, six laps of blue cheese, and maybe a snack for her brother-bap. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into sweet red bags and we will go meet her one day at the train station."
tiny,p232_003.wav,cheese,4.38,4.82,4.35,5.2," 6. Boons of fresh snowbees, 5 thick slabs of blue cheese, and maybe a snack will have rather bob."
tiny,p232_003_c.wav,cheese,4.4,4.82,4.348,4.8," 6. Boons of fresh snowbees, 5 thick slabs of blue cheese, and maybe a snack will have rather bob."
